GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0022400061,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,F,,29.000000:54,0.5,0.5,0.174,0.0,0.652,0.087,0.174,0.217,0.174,0.0,1.0,0.8,0.2,0.571,0.429
0022400061,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,30.000000:18,0.389,0.611,0.324,0.108,0.649,0.054,0.027,0.108,0.216,0.667,0.333,0.125,0.875,0.357,0.643
0022400061,1610612738,BOS,Boston,201143,Al Horford,Al,C,,26.000000:05,0.286,0.714,0.182,0.0,0.818,0.0,0.0,0.0,0.182,1.0,0.0,1.0,0.0,1.0,0.0
0022400061,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,,26.000000:38,0.231,0.769,0.167,0.0,0.75,0.0,0.083,0.125,0.167,1.0,0.0,1.0,0.0,1.0,0.0
0022400061,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,,30.000000:31,0.333,0.667,0.333,0.0,0.667,0.389,0.0,0.278,0.333,0.667,0.333,0.75,0.25,0.714,0.286
0022400061,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,,,19.000000:19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5
0022400061,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,24.000000:58,0.1,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0022400061,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,,24.000000:10,0.3,0.7,0.4,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0022400061,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,,,17.000000:42,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400061,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,,6.000000:05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400061,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,,4.000000:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400061,1610612738,BOS,Boston,1631248,Baylor Scheierman,Baylor,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022400061,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022400061,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,34.000000:10,0.429,0.571,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0
0022400061,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,24.000000:30,0.667,0.333,0.667,0.0,0.0,0.0,0.333,0.0,0.667,1.0,0.0,0.0,0.0,1.0,0.0
0022400061,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,23.000000:37,0.778,0.222,0.667,0.333,0.25,0.0,0.083,0.0,0.333,0.0,1.0,1.0,0.0,0.2,0.8
0022400061,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,34.000000:37,0.462,0.538,0.625,0.25,0.375,0.0,0.0,0.0,0.375,0.6,0.4,1.0,0.0,0.714,0.286
0022400061,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,24.000000:30,0.857,0.143,0.727,0.273,0.136,0.182,0.136,0.0,0.455,0.25,0.75,0.0,1.0,0.222,0.778
0022400061,1610612752,NYK,New York,1630579,Jericho Sims,Jericho,,,24.000000:23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400061,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,25.000000:51,0.5,0.5,0.364,0.273,0.545,0.0,0.091,0.091,0.091,0.0,1.0,0.5,0.5,0.25,0.75
0022400061,1610612752,NYK,New York,1626166,Cameron Payne,Cameron,,,20.000000:43,0.6,0.4,0.727,0.182,0.273,0.0,0.0,0.0,0.545,0.0,1.0,1.0,0.0,0.2,0.8
0022400061,1610612752,NYK,New York,1642359,Pacôme Dadiet,Pacôme,,,13.000000:23,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0022400061,1610612752,NYK,New York,1630574,Ariel Hukporti,Ariel,,,6.000000:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400061,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,,5.000000:24,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0022400061,1610612752,NYK,New York,1631210,Jacob Toppin,Jacob,,,2.000000:47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400062,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,F,,35.000000:05,0.714,0.286,0.667,0.0,0.167,0.111,0.167,0.0,0.667,0.667,0.333,1.0,0.0,0.714,0.286
0022400062,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,F,,34.000000:39,0.75,0.25,0.75,0.0,0.188,0.5,0.063,0.125,0.75,0.667,0.333,0.0,1.0,0.571,0.429
0022400062,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,37.000000:35,0.87,0.13,0.556,0.056,0.083,0.028,0.361,0.194,0.5,0.3,0.7,1.0,0.0,0.364,0.636
0022400062,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,36.000000:02,0.643,0.357,1.0,0.0,0.0,0.333,0.0,0.333,1.0,0.167,0.833,0.0,0.0,0.167,0.833
0022400062,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,G,,34.000000:13,0.417,0.583,0.667,0.0,0.333,0.0,0.0,0.222,0.667,0.333,0.667,1.0,0.0,0.5,0.5
0022400062,1610612747,LAL,Los Angeles,1631108,Max Christie,Max,,,11.000000:25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400062,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,17.000000:13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
