GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021600006,1610612738,Celtics,BOS,Boston,240.000000:00,48,89,0.539,11,32,0.344,15,18,0.833,12,35,47,36,13,9,19,20,122,5.0
0021600006,1610612751,Nets,BKN,Brooklyn,240.000000:00,43,97,0.443,15,44,0.341,16,20,0.8,15,29,44,22,8,3,16,19,117,-5.0
0021600007,1610612761,Raptors,TOR,Toronto,240.000000:00,41,86,0.477,3,18,0.167,24,29,0.828,14,37,51,17,8,0,11,22,109,18.0
0021600007,1610612765,Pistons,DET,Detroit,240.000000:00,35,84,0.417,4,22,0.182,17,22,0.773,8,32,40,17,8,0,13,24,91,-18.0
0021600013,1610612745,Rockets,HOU,Houston,240.000000:00,44,86,0.512,7,29,0.241,19,27,0.704,10,29,39,29,10,1,14,23,114,-6.0
0021600013,1610612747,Lakers,LAL,Los Angeles,240.000000:00,45,89,0.506,12,35,0.343,18,22,0.818,11,28,39,21,10,4,15,24,120,6.0
0021600014,1610612737,Hawks,ATL,Atlanta,240.000000:00,44,88,0.5,12,26,0.462,14,18,0.778,14,38,52,28,13,7,21,19,114,15.0
0021600014,1610612764,Wizards,WAS,Washington,240.000000:00,40,94,0.426,6,20,0.3,13,18,0.722,12,28,40,25,14,4,19,20,99,-15.0
0021600015,1610612738,Celtics,BOS,Boston,240.000000:00,38,76,0.5,8,23,0.348,15,24,0.625,3,33,36,22,6,6,11,25,99,-6.0
0021600015,1610612741,Bulls,CHI,Chicago,240.000000:00,36,92,0.391,11,25,0.44,22,30,0.733,18,37,55,25,5,1,12,21,105,6.0
0021600016,1610612758,Kings,SAC,Sacramento,240.000000:00,28,70,0.4,6,20,0.3,32,38,0.842,6,34,40,22,7,0,15,21,94,-8.0
0021600016,1610612759,Spurs,SAS,San Antonio,240.000000:00,36,79,0.456,6,18,0.333,24,27,0.889,9,31,40,23,10,8,9,26,102,8.0
0021600023,1610612742,Mavericks,DAL,Dallas,240.000000:00,35,80,0.438,8,29,0.276,20,24,0.833,6,28,34,13,11,2,9,21,98,-8.0
0021600023,1610612745,Rockets,HOU,Houston,240.000000:00,33,70,0.471,15,32,0.469,25,31,0.806,5,36,41,21,6,1,18,22,106,8.0
0021600026,1610612737,Hawks,ATL,Atlanta,240.000000:00,42,85,0.494,5,20,0.25,15,23,0.652,6,41,47,31,11,7,12,14,104,32.0
0021600026,1610612755,76ers,PHI,Philadelphia,240.000000:00,28,80,0.35,5,18,0.278,11,15,0.733,4,35,39,16,9,5,20,20,72,-32.0
0021600030,1610612741,Bulls,CHI,Chicago,240.000000:00,45,86,0.523,9,21,0.429,19,21,0.905,13,34,47,34,8,6,12,14,118,17.0
0021600030,1610612754,Pacers,IND,Indiana,240.000000:00,43,88,0.489,7,18,0.389,8,9,0.889,8,25,33,34,8,7,13,16,101,-17.0
0021600031,1610612749,Bucks,MIL,Milwaukee,240.000000:00,41,88,0.466,8,22,0.364,20,24,0.833,8,36,44,25,14,5,14,23,110,2.0
0021600031,1610612751,Nets,BKN,Brooklyn,240.000000:00,37,84,0.44,11,34,0.324,23,28,0.821,11,34,45,23,12,6,18,22,108,-2.0
0021600034,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,37,70,0.529,7,22,0.318,22,31,0.71,7,29,36,19,6,5,11,25,103,-3.0
0021600034,1610612758,Kings,SAC,Sacramento,240.000000:00,39,85,0.459,9,26,0.346,19,25,0.76,11,20,31,24,6,5,13,24,106,3.0
0021600035,1610612746,Clippers,LAC,LA,240.000000:00,34,83,0.41,6,27,0.222,14,20,0.7,14,35,49,17,8,4,13,14,88,13.0
0021600035,1610612762,Jazz,UTA,Utah,240.000000:00,29,73,0.397,7,19,0.368,10,13,0.769,7,36,43,18,8,2,18,22,75,-13.0
0021600042,1610612743,Nuggets,DEN,Denver,240.000000:00,33,81,0.407,9,22,0.409,27,35,0.771,11,35,46,14,2,9,8,18,102,-3.0
0021600042,1610612761,Raptors,TOR,Toronto,240.000000:00,41,88,0.466,4,16,0.25,19,25,0.76,11,32,43,16,7,9,7,28,105,3.0
0021600053,1610612759,Spurs,SAS,San Antonio,240.000000:00,33,76,0.434,6,20,0.3,19,21,0.905,4,30,34,19,6,5,9,15,91,-15.0
0021600053,1610612762,Jazz,UTA,Utah,240.000000:00,38,76,0.5,15,31,0.484,15,18,0.833,2,37,39,22,5,8,10,20,106,15.0
0021600054,1610612744,Warriors,GSW,Golden State,240.000000:00,50,89,0.562,10,26,0.385,17,23,0.739,7,38,45,36,14,4,16,19,127,23.0
0021600054,1610612757,Trail Blazers,POR,Portland,240.000000:00,37,86,0.43,14,39,0.359,16,21,0.762,6,26,32,23,12,4,18,17,104,-23.0
0021600063,1610612756,Suns,PHX,Phoenix,265.000000:00,44,103,0.427,5,16,0.313,25,30,0.833,14,45,59,15,10,5,12,20,118,3.0
0021600063,1610612757,Trail Blazers,POR,Portland,265.000000:00,42,101,0.416,12,33,0.364,19,21,0.905,10,43,53,25,8,8,14,23,115,-3.0
0021600067,1610612743,Nuggets,DEN,Denver,240.000000:00,39,81,0.481,6,22,0.273,18,25,0.72,7,37,44,24,10,2,20,24,102,3.0
0021600067,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,35,88,0.398,9,22,0.409,20,25,0.8,14,29,43,20,8,4,16,22,99,-3.0
0021600068,1610612738,Celtics,BOS,Boston,240.000000:00,46,96,0.479,11,32,0.344,19,22,0.864,10,29,39,25,4,6,8,28,122,-6.0
0021600068,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,41,84,0.488,14,34,0.412,32,37,0.865,7,35,42,24,6,6,8,19,128,6.0
0021600069,1610612744,Warriors,GSW,Golden State,240.000000:00,46,89,0.517,14,30,0.467,16,20,0.8,15,31,46,27,9,14,15,18,122,26.0
0021600069,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,35,87,0.402,10,27,0.37,16,28,0.571,13,28,41,20,8,6,16,20,96,-26.0
0021600079,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,33,84,0.393,4,19,0.211,22,29,0.759,17,24,41,12,7,8,17,19,92,-20.0
0021600079,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,45,86,0.523,7,16,0.438,15,24,0.625,11,30,41,24,9,9,12,21,112,20.0
0021600087,1610612752,Knicks,NYK,New York,240.000000:00,42,83,0.506,8,20,0.4,17,19,0.895,10,29,39,18,8,5,12,26,109,-5.0
0021600087,1610612762,Jazz,UTA,Utah,240.000000:00,38,75,0.507,8,25,0.32,30,35,0.857,7,27,34,21,6,4,10,19,114,5.0
0021600089,1610612758,Kings,SAC,Sacramento,240.000000:00,34,78,0.436,5,16,0.313,23,31,0.742,13,34,47,21,4,5,9,22,96,5.0
0021600089,1610612761,Raptors,TOR,Toronto,240.000000:00,30,84,0.357,7,30,0.233,24,31,0.774,13,30,43,22,6,5,6,26,91,-5.0
0021600100,1610612737,Hawks,ATL,Atlanta,240.000000:00,41,81,0.506,11,29,0.379,17,24,0.708,11,39,50,22,1,4,19,21,110,4.0
0021600100,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,37,99,0.374,11,42,0.262,21,25,0.84,13,26,39,21,12,1,6,20,106,-4.0
0021600101,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,39,92,0.424,12,28,0.429,20,28,0.714,15,26,41,20,11,3,16,21,110,-9.0
0021600101,1610612751,Nets,BKN,Brooklyn,240.000000:00,42,76,0.553,12,33,0.364,23,26,0.885,5,38,43,20,5,5,20,19,119,9.0
0021600107,1610612738,Celtics,BOS,Boston,240.000000:00,35,81,0.432,10,31,0.323,13,22,0.591,7,24,31,21,5,4,11,19,93,-25.0
0021600107,1610612764,Wizards,WAS,Washington,240.000000:00,46,92,0.5,10,21,0.476,16,20,0.8,19,35,54,29,9,7,11,26,118,25.0
0021600108,1610612762,Jazz,UTA,Utah,240.000000:00,38,82,0.463,8,34,0.235,14,18,0.778,10,36,46,24,5,6,12,22,98,-6.0
0021600108,1610612766,Hornets,CHA,Charlotte,240.000000:00,38,82,0.463,8,26,0.308,20,29,0.69,5,32,37,24,8,3,8,19,104,6.0
0021600113,1610612756,Suns,PHX,Phoenix,240.000000:00,38,84,0.452,8,22,0.364,23,30,0.767,10,39,49,20,7,6,17,20,107,7.0
0021600113,1610612765,Pistons,DET,Detroit,240.000000:00,32,89,0.36,9,22,0.409,27,32,0.844,9,32,41,20,11,5,11,24,100,-7.0
0021600114,1610612745,Rockets,HOU,Houston,240.000000:00,37,78,0.474,10,30,0.333,17,22,0.773,8,37,45,25,7,4,19,24,101,2.0
0021600114,1610612759,Spurs,SAS,San Antonio,240.000000:00,33,84,0.393,7,23,0.304,26,30,0.867,10,29,39,22,14,5,10,15,99,-2.0
0021600117,1610612740,Pelicans,NOP,New Orleans,240.000000:00,39,89,0.438,9,25,0.36,25,27,0.926,11,36,47,22,9,7,10,19,112,6.0
0021600117,1610612749,Bucks,MIL,Milwaukee,240.000000:00,40,91,0.44,6,18,0.333,20,25,0.8,11,37,48,23,4,5,11,20,106,-6.0
0021600118,1610612741,Bulls,CHI,Chicago,240.000000:00,37,89,0.416,6,16,0.375,18,20,0.9,12,36,48,18,7,2,10,12,98,3.0
0021600118,1610612748,Heat,MIA,Miami,240.000000:00,36,88,0.409,13,29,0.448,10,15,0.667,14,32,46,22,8,5,13,19,95,-3.0
0021600119,1610612743,Nuggets,DEN,Denver,240.000000:00,38,94,0.404,13,36,0.361,12,17,0.706,17,27,44,26,7,3,18,18,101,-24.0
0021600119,1610612744,Warriors,GSW,Golden State,240.000000:00,46,85,0.541,14,30,0.467,19,20,0.95,9,35,44,33,15,6,15,18,125,24.0
0021600120,1610612747,Lakers,LAL,Los Angeles,240.000000:00,38,74,0.514,9,27,0.333,16,22,0.727,4,38,42,18,8,2,21,19,101,10.0
0021600120,1610612758,Kings,SAC,Sacramento,240.000000:00,34,85,0.4,8,21,0.381,15,20,0.75,11,32,43,18,13,3,15,19,91,-10.0
0021600128,1610612757,Trail Blazers,POR,Portland,265.000000:00,45,86,0.523,13,33,0.394,19,27,0.704,7,29,36,29,8,4,11,24,122,2.0
0021600128,1610612758,Kings,SAC,Sacramento,265.000000:00,43,88,0.489,6,21,0.286,28,35,0.8,13,35,48,18,7,3,15,21,120,-2.0
0021600129,1610612740,Pelicans,NOP,New Orleans,240.000000:00,39,90,0.433,6,20,0.3,15,19,0.789,12,30,42,20,4,5,10,10,99,-27.0
0021600129,1610612747,Lakers,LAL,Los Angeles,240.000000:00,52,94,0.553,16,30,0.533,6,7,0.857,10,37,47,36,8,5,10,17,126,27.0
0021600131,1610612752,Knicks,NYK,New York,240.000000:00,44,97,0.454,7,23,0.304,12,16,0.75,17,32,49,19,3,2,16,23,107,-11.0
0021600131,1610612761,Raptors,TOR,Toronto,240.000000:00,39,83,0.47,7,22,0.318,33,38,0.868,11,33,44,18,10,6,11,20,118,11.0
0021600152,1610612746,Clippers,LAC,LA,240.000000:00,48,90,0.533,14,25,0.56,17,21,0.81,9,34,43,32,17,6,11,22,127,32.0
0021600152,1610612751,Nets,BKN,Brooklyn,240.000000:00,34,77,0.442,10,33,0.303,17,22,0.773,9,28,37,18,6,2,21,21,95,-32.0
0021600154,1610612737,Hawks,ATL,Atlanta,240.000000:00,37,80,0.463,6,17,0.353,13,19,0.684,6,29,35,18,14,4,19,13,93,3.0
0021600154,1610612748,Heat,MIA,Miami,240.000000:00,36,89,0.404,7,23,0.304,11,14,0.786,17,31,48,13,11,7,23,23,90,-3.0
0021600155,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,38,89,0.427,15,35,0.429,17,21,0.81,14,29,43,25,4,5,18,19,108,-7.0
0021600155,1610612766,Hornets,CHA,Charlotte,240.000000:00,43,80,0.537,11,24,0.458,18,22,0.818,4,33,37,25,10,6,13,17,115,7.0
0021600160,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,35,86,0.407,11,30,0.367,12,20,0.6,11,40,51,19,3,5,18,16,93,-10.0
0021600160,1610612754,Pacers,IND,Indiana,240.000000:00,43,86,0.5,10,28,0.357,7,11,0.636,5,35,40,22,8,12,10,16,103,10.0
0021600169,1610612752,Knicks,NYK,New York,240.000000:00,41,86,0.477,12,29,0.414,18,20,0.9,10,26,36,23,9,1,13,20,112,-7.0
0021600169,1610612764,Wizards,WAS,Washington,240.000000:00,44,81,0.543,15,25,0.6,16,18,0.889,7,30,37,26,7,2,15,21,119,7.0
0021600172,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,43,84,0.512,6,25,0.24,18,20,0.9,14,34,48,18,7,8,13,19,110,24.0
0021600172,1610612755,76ers,PHI,Philadelphia,240.000000:00,31,83,0.373,9,32,0.281,15,19,0.789,13,27,40,15,9,2,15,17,86,-24.0
0021600173,1610612741,Bulls,CHI,Chicago,240.000000:00,33,90,0.367,5,17,0.294,14,16,0.875,14,32,46,8,7,6,8,16,85,8.0
0021600173,1610612762,Jazz,UTA,Utah,240.000000:00,30,78,0.385,5,25,0.2,12,14,0.857,10,38,48,11,4,3,13,14,77,-8.0
0021600183,1610612746,Clippers,LAC,LA,240.000000:00,40,76,0.526,13,29,0.448,28,34,0.824,5,32,37,27,7,6,14,24,121,6.0
0021600183,1610612758,Kings,SAC,Sacramento,240.000000:00,38,86,0.442,10,26,0.385,29,35,0.829,9,28,37,21,7,4,14,24,115,-6.0
0021600185,1610612740,Pelicans,NOP,New Orleans,265.000000:00,43,98,0.439,14,36,0.389,21,25,0.84,10,43,53,27,9,6,11,23,121,5.0
0021600185,1610612766,Hornets,CHA,Charlotte,265.000000:00,40,97,0.412,15,43,0.349,21,28,0.75,8,44,52,29,7,5,14,21,116,-5.0
0021600186,1610612748,Heat,MIA,Miami,240.000000:00,43,85,0.506,13,27,0.481,15,26,0.577,17,30,47,21,6,7,16,21,114,3.0
0021600186,1610612764,Wizards,WAS,Washington,240.000000:00,42,89,0.472,11,27,0.407,16,22,0.727,13,27,40,22,9,2,11,22,111,-3.0
0021600187,1610612742,Mavericks,DAL,Dallas,240.000000:00,26,77,0.338,13,28,0.464,22,27,0.815,5,29,34,13,8,5,13,16,87,-8.0
0021600187,1610612753,Magic,ORL,Orlando,240.000000:00,34,78,0.436,8,21,0.381,19,22,0.864,10,40,50,17,6,8,19,21,95,8.0
0021600195,1610612754,Pacers,IND,Indiana,265.000000:00,40,89,0.449,11,22,0.5,24,31,0.774,15,36,51,23,13,2,22,20,115,4.0
0021600195,1610612760,Thunder,OKC,Oklahoma City,265.000000:00,44,101,0.436,10,36,0.278,13,18,0.722,15,34,49,28,10,7,20,23,111,-4.0
0021600198,1610612741,Bulls,CHI,Chicago,240.000000:00,45,87,0.517,8,22,0.364,20,28,0.714,16,40,56,27,6,3,16,16,118,8.0
0021600198,1610612747,Lakers,LAL,Los Angeles,240.000000:00,41,93,0.441,13,31,0.419,15,21,0.714,10,27,37,26,11,3,10,19,110,-8.0
0021600202,1610612744,Warriors,GSW,Golden State,240.000000:00,40,90,0.444,13,36,0.361,27,32,0.844,12,48,60,31,9,10,12,17,120,37.0
0021600202,1610612754,Pacers,IND,Indiana,240.000000:00,33,103,0.32,6,23,0.261,11,12,0.917,15,34,49,13,5,4,11,23,83,-37.0
0021600205,1610612738,Celtics,BOS,Boston,240.000000:00,38,84,0.452,12,38,0.316,11,14,0.786,6,33,39,20,5,4,11,21,99,6.0
0021600205,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,36,86,0.419,4,24,0.167,17,25,0.68,16,35,51,23,5,4,15,19,93,-6.0
0021600208,1610612752,Knicks,NYK,New York,240.000000:00,45,96,0.469,9,29,0.31,8,8,1.0,10,33,43,26,8,5,13,23,107,4.0
0021600208,1610612757,Trail Blazers,POR,Portland,240.000000:00,38,86,0.442,6,22,0.273,21,26,0.808,11,33,44,18,5,5,16,13,103,-4.0
0021600211,1610612747,Lakers,LAL,Los Angeles,240.000000:00,42,83,0.506,14,27,0.519,13,16,0.813,6,29,35,25,8,7,17,17,111,2.0
