GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022100001,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,30.000000:57,0.0,0.0,7.0,2.0,0.0,3.0,6.0,28.0,0.0,1.0,3.0,3.0
0022100001,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,30.000000:57,2.0,8.0,8.0,18.0,2.0,0.0,8.0,22.0,2.0,2.0,4.0,11.0
0022100001,1610612749,MIL,Milwaukee,201572,Brook Lopez,Brook,C,,28.000000:10,3.0,3.0,0.0,2.0,2.0,5.0,7.0,20.0,3.0,2.0,3.0,0.0
0022100001,1610612749,MIL,Milwaukee,1628960,Grayson Allen,Grayson,G,,27.000000:43,3.0,1.0,0.0,0.0,2.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0
0022100001,1610612749,MIL,Milwaukee,201950,Jrue Holiday,Jrue,G,,17.000000:43,0.0,0.0,0.0,2.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0
0022100001,1610612749,MIL,Milwaukee,1626192,Pat Connaughton,Pat,,,29.000000:58,3.0,0.0,0.0,8.0,2.0,4.0,12.0,24.0,1.0,0.0,0.0,0.0
0022100001,1610612749,MIL,Milwaukee,201588,George Hill,George,,,23.000000:21,0.0,0.0,0.0,0.0,0.0,5.0,12.0,22.0,1.0,0.0,5.0,1.0
0022100001,1610612749,MIL,Milwaukee,203648,Thanasis Antetokounmpo,Thanasis,,,12.000000:24,0.0,2.0,0.0,4.0,0.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0
0022100001,1610612749,MIL,Milwaukee,1629670,Jordan Nwora,Jordan,,,26.000000:28,8.0,2.0,6.0,6.0,2.0,6.0,14.0,18.0,1.0,2.0,3.0,0.0
0022100001,1610612749,MIL,Milwaukee,1630572,Sandro Mamukelashvili,Sandro,,,7.000000:02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
0022100001,1610612749,MIL,Milwaukee,1629620,Justin Robinson,Justin,,,4.000000:01,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0022100001,1610612749,MIL,Milwaukee,1630686,Georgios Kalaitzakis,Georgios,,,1.000000:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022100001,1610612751,BKN,Brooklyn,201142,Kevin Durant,Kevin,F,,30.000000:15,0.0,3.0,1.0,14.0,14.0,7.0,21.0,14.0,2.0,3.0,2.0,5.0
0022100001,1610612751,BKN,Brooklyn,201933,Blake Griffin,Blake,F,,22.000000:59,0.0,0.0,2.0,4.0,5.0,4.0,16.0,14.0,0.0,0.0,1.0,3.0
0022100001,1610612751,BKN,Brooklyn,1629651,Nic Claxton,Nic,C,,24.000000:10,2.0,0.0,0.0,12.0,8.0,11.0,14.0,28.0,0.0,2.0,3.0,4.0
0022100001,1610612751,BKN,Brooklyn,203925,Joe Harris,Joe,G,,30.000000:46,0.0,0.0,3.0,0.0,13.0,14.0,16.0,30.0,0.0,1.0,1.0,0.0
0022100001,1610612751,BKN,Brooklyn,201935,James Harden,James,G,,30.000000:38,0.0,3.0,0.0,4.0,13.0,14.0,14.0,36.0,2.0,3.0,3.0,3.0
0022100001,1610612751,BKN,Brooklyn,201988,Patty Mills,Patty,,,29.000000:22,0.0,0.0,9.0,0.0,11.0,4.0,10.0,22.0,1.0,0.0,1.0,0.0
0022100001,1610612751,BKN,Brooklyn,200794,Paul Millsap,Paul,,,5.000000:13,0.0,0.0,0.0,0.0,5.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0
0022100001,1610612751,BKN,Brooklyn,200746,LaMarcus Aldridge,LaMarcus,,,15.000000:42,0.0,0.0,0.0,0.0,11.0,3.0,7.0,6.0,1.0,0.0,2.0,2.0
0022100001,1610612751,BKN,Brooklyn,1628975,Jevon Carter,Jevon,,,18.000000:57,0.0,0.0,0.0,0.0,15.0,8.0,5.0,14.0,0.0,0.0,1.0,0.0
0022100001,1610612751,BKN,Brooklyn,201949,James Johnson,James,,,20.000000:43,0.0,0.0,0.0,0.0,6.0,9.0,0.0,22.0,1.0,0.0,3.0,1.0
