,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,F,,31:14,0.32,0.281,0.162,0.25,0.56,0.379,0.153,0.25
1,0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,Eric,F,,21:33,0.354,0.268,0.161,0.154,0.622,0.439,0.118,0.2
2,0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,James,C,,24:17,0.417,0.292,0.14,0.167,0.472,0.208,0.197,0.346
3,0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,Kelly,G,,25:39,0.398,0.241,0.159,0.219,0.611,0.352,0.166,0.292
4,0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30:19,0.431,0.2,0.161,0.222,0.592,0.383,0.171,0.259
5,0022000001,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,,,11:17,0.479,0.208,0.184,0.308,0.778,0.556,0.227,0.222
6,0022000001,1610612744,GSW,Golden State,203145,Kent Bazemore,Kent,,,11:35,0.537,0.037,0.197,0.25,0.656,0.875,0.221,0.111
7,0022000001,1610612744,GSW,Golden State,1627814,Damion Lee,Damion,,,12:14,0.571,0.214,0.135,0.385,0.455,0.273,0.225,0.286
8,0022000001,1610612744,GSW,Golden State,1627737,Marquese Chriss,Marquese,,,12:26,0.389,0.148,0.168,0.286,0.5,0.524,0.077,0.167
9,0022000001,1610612744,GSW,Golden State,1629673,Jordan Poole,Jordan,,,17:55,0.412,0.294,0.152,0.238,0.424,0.273,0.184,0.3
10,0022000001,1610612744,GSW,Golden State,202954,Brad Wanamaker,Brad,,,21:40,0.444,0.222,0.124,0.259,0.429,0.214,0.209,0.333
11,0022000001,1610612744,GSW,Golden State,1629308,Juan Toscano-Anderson,Juan,,,13:15,0.346,0.231,0.184,0.125,0.464,0.286,0.209,0.385
12,0022000001,1610612744,GSW,Golden State,1628539,Mychal Mulder,Mychal,,,6:36,0.833,0.333,0.136,0.2,0.429,0.0,0.214,0.333
13,0022000001,1610612751,BKN,Brooklyn,203925,Joe Harris,Joe,F,,20:46,0.585,0.191,0.151,0.316,0.369,0.286,0.142,0.192
