GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021700001,1610612738,BOS,Boston,202330,Gordon Hayward,Gordon,F,,5.000000:15,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
0021700001,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,F,,36.000000:32,5.0,12.0,0.417,1.0,2.0,0.5,3.0,3.0,1.0,4.0,6.0,10.0,3.0,0.0,0.0,1.0,4.0,14.0,5.0
0021700001,1610612738,BOS,Boston,201143,Al Horford,Al,C,,32.000000:07,2.0,7.0,0.286,0.0,2.0,0.0,5.0,7.0,0.714,0.0,7.0,7.0,5.0,0.0,1.0,0.0,2.0,9.0,8.0
0021700001,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,G,,39.000000:36,11.0,23.0,0.478,2.0,9.0,0.222,1.0,2.0,0.5,1.0,5.0,6.0,0.0,2.0,0.0,3.0,5.0,25.0,-5.0
0021700001,1610612738,BOS,Boston,202681,Kyrie Irving,Kyrie,G,,39.000000:21,8.0,17.0,0.471,4.0,9.0,0.444,2.0,2.0,1.0,2.0,2.0,4.0,10.0,3.0,0.0,2.0,4.0,22.0,-2.0
0021700001,1610612738,BOS,Boston,203935,Marcus Smart,Marcus,,,35.000000:03,5.0,16.0,0.313,0.0,4.0,0.0,2.0,3.0,0.667,0.0,9.0,9.0,3.0,2.0,2.0,2.0,2.0,12.0,-8.0
0021700001,1610612738,BOS,Boston,203382,Aron Baynes,Aron,,,19.000000:06,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,1.0,0.0,1.0,2.0,5.0,6.0,-14.0
0021700001,1610612738,BOS,Boston,1628400,Semi Ojeleye,Semi,,,8.000000:39,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0
0021700001,1610612738,BOS,Boston,1626179,Terry Rozier,Terry,,,19.000000:32,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,9.0,5.0
0021700001,1610612738,BOS,Boston,203499,Shane Larkin,Shane,,,4.000000:49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0021700001,1610612738,BOS,Boston,1627846,Abdel Nader,Abdel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021700001,1610612738,BOS,Boston,1628464,Daniel Theis,Daniel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021700001,1610612739,CLE,Cleveland,2544,LeBron James,LeBron,F,,41.000000:12,12.0,19.0,0.632,1.0,5.0,0.2,4.0,4.0,1.0,1.0,15.0,16.0,9.0,0.0,2.0,4.0,3.0,29.0,3.0
0021700001,1610612739,CLE,Cleveland,203109,Jae Crowder,Jae,F,,34.000000:44,3.0,10.0,0.3,1.0,5.0,0.2,4.0,4.0,1.0,1.0,4.0,5.0,2.0,2.0,0.0,1.0,2.0,11.0,8.0
0021700001,1610612739,CLE,Cleveland,201567,Kevin Love,Kevin,C,,28.000000:24,4.0,9.0,0.444,1.0,4.0,0.25,6.0,7.0,0.857,3.0,8.0,11.0,0.0,0.0,0.0,2.0,2.0,15.0,1.0
