,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
1,0022300010,1610612751,Nets,BKN,Brooklyn,240.000000:00,2.0,5.0,13.0,32.0,18.0,29.0,12.0,32.0,3,3,25,13
0,0022300011,1610612740,Pelicans,NOP,New Orleans,240.000000:00,4.0,14.0,6.0,40.0,27.0,16.0,9.0,44.0,6,5,26,22
1,0022300011,1610612745,Rockets,HOU,Houston,240.000000:00,27.0,16.0,9.0,44.0,4.0,14.0,6.0,40.0,5,6,22,26
0,0022300012,1610612762,Jazz,UTA,Utah,240.000000:00,17.0,9.0,17.0,44.0,24.0,18.0,14.0,48.0,12,5,17,23
1,0022300012,1610612763,Grizzlies,MEM,Memphis,240.000000:00,24.0,18.0,14.0,48.0,17.0,9.0,17.0,44.0,5,12,23,17
1,0022300013,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,16.0,15.0,6.0,50.0,21.0,13.0,18.0,42.0,4,8,19,21
0,0022300013,1610612759,Spurs,SAS,San Antonio,240.000000:00,21.0,13.0,18.0,42.0,16.0,15.0,6.0,50.0,8,4,21,19
1,0022300014,1610612742,Mavericks,DAL,Dallas,240.000000:00,20.0,19.0,15.0,50.0,13.0,20.0,15.0,62.0,1,2,23,27
0,0022300014,1610612746,Clippers,LAC,LA,240.000000:00,13.0,20.0,15.0,62.0,20.0,19.0,15.0,50.0,2,1,27,23
1,0022300015,1610612747,Lakers,LAL,Los Angeles,240.000000:00,15.0,10.0,20.0,52.0,9.0,21.0,18.0,52.0,7,1,20,24
0,0022300015,1610612756,Suns,PHX,Phoenix,240.000000:00,9.0,21.0,18.0,52.0,15.0,10.0,20.0,52.0,1,7,24,20
0,0022300016,1610612758,Kings,SAC,Sacramento,240.000000:00,23.0,23.0,13.0,46.0,20.0,6.0,11.0,58.0,9,5,22,15
1,0022300016,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,20.0,6.0,11.0,58.0,23.0,23.0,13.0,46.0,5,9,15,22
0,0022300017,1610612748,Heat,MIA,Miami,240.000000:00,23.0,8.0,13.0,54.0,9.0,17.0,2.0,40.0,5,0,19,21
1,0022300017,1610612766,Hornets,CHA,Charlotte,240.000000:00,9.0,17.0,2.0,40.0,23.0,8.0,13.0,54.0,0,5,21,19
1,0022300018,1610612737,Hawks,ATL,Atlanta,240.000000:00,19.0,11.0,17.0,48.0,17.0,16.0,16.0,70.0,7,6,19,20
0,0022300018,1610612765,Pistons,DET,Detroit,240.000000:00,17.0,16.0,16.0,70.0,19.0,11.0,17.0,48.0,6,7,20,19
1,0022300019,1610612754,Pacers,IND,Indiana,240.000000:00,13.0,8.0,21.0,58.0,4.0,8.0,22.0,66.0,5,3,28,26
0,0022300019,1610612755,76ers,PHI,Philadelphia,240.000000:00,4.0,8.0,22.0,66.0,13.0,8.0,21.0,58.0,3,5,26,28
1,0022300020,1610612751,Nets,BKN,Brooklyn,240.000000:00,27.0,11.0,31.0,52.0,16.0,19.0,7.0,36.0,3,4,24,16
0,0022300020,1610612753,Magic,ORL,Orlando,240.000000:00,16.0,19.0,7.0,36.0,27.0,11.0,31.0,52.0,4,3,16,24
0,0022300021,1610612759,Spurs,SAS,San Antonio,240.000000:00,13.0,16.0,2.0,38.0,23.0,11.0,31.0,60.0,6,6,13,17
1,0022300021,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,23.0,11.0,31.0,60.0,13.0,16.0,2.0,38.0,6,6,17,13
0,0022300022,1610612740,Pelicans,NOP,New Orleans,240.000000:00,31.0,12.0,46.0,60.0,10.0,20.0,12.0,40.0,6,3,20,16
1,0022300022,1610612742,Mavericks,DAL,Dallas,240.000000:00,10.0,20.0,12.0,40.0,31.0,12.0,46.0,60.0,3,6,16,20
1,0022300023,1610612757,Trail Blazers,POR,Portland,240.000000:00,9.0,12.0,9.0,40.0,23.0,20.0,20.0,56.0,6,6,15,18
0,0022300023,1610612762,Jazz,UTA,Utah,240.000000:00,23.0,20.0,20.0,56.0,9.0,12.0,9.0,40.0,6,6,18,15
1,0022300024,1610612743,Nuggets,DEN,Denver,240.000000:00,7.0,13.0,12.0,58.0,19.0,13.0,13.0,34.0,2,1,19,24
0,0022300024,1610612746,Clippers,LAC,LA,240.000000:00,19.0,13.0,13.0,34.0,7.0,13.0,12.0,58.0,1,2,24,19
1,0022300025,1610612744,Warriors,GSW,Golden State,240.000000:00,22.0,14.0,7.0,34.0,20.0,15.0,11.0,36.0,2,5,22,19
0,0022300025,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,20.0,15.0,11.0,36.0,22.0,14.0,7.0,34.0,5,2,19,22
1,0022300026,1610612747,Lakers,LAL,Los Angeles,240.000000:00,10.0,20.0,17.0,40.0,22.0,19.0,8.0,34.0,10,9,13,15
0,0022300026,1610612763,Grizzlies,MEM,Memphis,240.000000:00,22.0,19.0,8.0,34.0,10.0,20.0,17.0,40.0,9,10,15,13
0,0022300027,1610612749,Bucks,MIL,Milwaukee,240.000000:00,12.0,6.0,16.0,42.0,9.0,8.0,13.0,48.0,7,2,21,14
1,0022300027,1610612766,Hornets,CHA,Charlotte,240.000000:00,9.0,8.0,13.0,48.0,12.0,6.0,16.0,42.0,2,7,14,21
1,0022300028,1610612752,Knicks,NYK,New York,240.000000:00,12.0,17.0,4.0,40.0,12.0,9.0,9.0,46.0,6,4,21,18
0,0022300028,1610612764,Wizards,WAS,Washington,240.000000:00,12.0,9.0,9.0,46.0,12.0,17.0,4.0,40.0,4,6,18,21
1,0022300029,1610612737,Hawks,ATL,Atlanta,240.000000:00,25.0,23.0,22.0,54.0,16.0,28.0,14.0,48.0,4,4,20,20
0,0022300029,1610612755,76ers,PHI,Philadelphia,240.000000:00,16.0,28.0,14.0,48.0,25.0,23.0,22.0,54.0,4,4,20,20
1,0022300030,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,22.0,5.0,14.0,56.0,16.0,19.0,18.0,46.0,6,6,9,19
0,0022300030,1610612765,Pistons,DET,Detroit,240.000000:00,16.0,19.0,18.0,46.0,22.0,5.0,14.0,56.0,6,6,19,9
1,0022300031,1610612738,Celtics,BOS,Boston,240.000000:00,11.0,10.0,15.0,40.0,15.0,4.0,12.0,54.0,4,1,13,11
0,0022300031,1610612761,Raptors,TOR,Toronto,240.000000:00,15.0,4.0,12.0,54.0,11.0,10.0,15.0,40.0,1,4,11,13
1,0022300032,1610612758,Kings,SAC,Sacramento,240.000000:00,16.0,7.0,16.0,50.0,25.0,15.0,7.0,48.0,2,3,22,21
0,0022300032,1610612759,Spurs,SAS,San Antonio,240.000000:00,25.0,15.0,7.0,48.0,16.0,7.0,16.0,50.0,3,2,21,22
1,0022300033,1610612741,Bulls,CHI,Chicago,240.000000:00,19.0,3.0,4.0,34.0,25.0,14.0,4.0,52.0,3,7,21,22
0,0022300033,1610612753,Magic,ORL,Orlando,240.000000:00,25.0,14.0,4.0,52.0,19.0,3.0,4.0,34.0,7,3,22,21
0,0022300034,1610612740,Pelicans,NOP,New Orleans,240.000000:00,13.0,8.0,15.0,60.0,10.0,15.0,11.0,66.0,5,3,13,20
1,0022300034,1610612743,Nuggets,DEN,Denver,240.000000:00,10.0,15.0,11.0,66.0,13.0,8.0,15.0,60.0,3,5,20,13
1,0022300035,1610612756,Suns,PHX,Phoenix,240.000000:00,17.0,16.0,6.0,42.0,14.0,15.0,6.0,44.0,4,10,22,23
0,0022300035,1610612762,Jazz,UTA,Utah,240.000000:00,14.0,15.0,6.0,44.0,17.0,16.0,6.0,42.0,10,4,23,22
1,0022300036,1610612747,Lakers,LAL,Los Angeles,240.000000:00,27.0,9.0,26.0,50.0,16.0,22.0,21.0,42.0,6,2,16,17
0,0022300036,1610612757,Trail Blazers,POR,Portland,240.000000:00,16.0,22.0,21.0,42.0,27.0,9.0,26.0,50.0,2,6,17,16
1,0022300037,1610612745,Rockets,HOU,Houston,240.000000:00,16.0,8.0,19.0,52.0,26.0,11.0,4.0,36.0,5,7,28,19
0,0022300037,1610612746,Clippers,LAC,LA,240.000000:00,26.0,11.0,4.0,36.0,16.0,8.0,19.0,52.0,7,5,19,28
1,0022300038,1610612753,Magic,ORL,Orlando,240.000000:00,31.0,27.0,23.0,68.0,13.0,5.0,9.0,36.0,8,6,19,20
0,0022300038,1610612761,Raptors,TOR,Toronto,240.000000:00,13.0,5.0,9.0,36.0,31.0,27.0,23.0,68.0,6,8,20,19
1,0022300039,1610612737,Hawks,ATL,Atlanta,240.000000:00,17.0,16.0,17.0,74.0,19.0,12.0,20.0,64.0,4,11,23,25
0,0022300039,1610612754,Pacers,IND,Indiana,240.000000:00,19.0,12.0,20.0,64.0,17.0,16.0,17.0,74.0,11,4,25,23
1,0022300040,1610612739,Cavaliers,CLE,Cleveland,265.000000:00,14.0,16.0,8.0,68.0,23.0,15.0,26.0,52.0,4,8,21,25
0,0022300040,1610612755,76ers,PHI,Philadelphia,265.000000:00,23.0,15.0,26.0,52.0,14.0,16.0,8.0,68.0,8,4,25,21
1,0022300041,1610612756,Suns,PHX,Phoenix,240.000000:00,15.0,12.0,20.0,66.0,17.0,26.0,5.0,44.0,8,3,18,20
0,0022300041,1610612757,Trail Blazers,POR,Portland,240.000000:00,17.0,26.0,5.0,44.0,15.0,12.0,20.0,66.0,3,8,20,18
1,0022300042,1610612747,Lakers,LAL,Los Angeles,240.000000:00,21.0,8.0,24.0,76.0,19.0,22.0,8.0,54.0,5,3,15,22
0,0022300042,1610612762,Jazz,UTA,Utah,240.000000:00,19.0,22.0,8.0,54.0,21.0,8.0,24.0,76.0,3,5,22,15
1,0022300043,1610612738,Celtics,BOS,Boston,240.000000:00,25.0,8.0,15.0,40.0,14.0,21.0,10.0,60.0,4,3,18,28
0,0022300043,1610612753,Magic,ORL,Orlando,240.000000:00,14.0,21.0,10.0,60.0,25.0,8.0,15.0,40.0,3,4,28,18
0,0022300044,1610612756,Suns,PHX,Phoenix,240.000000:00,24.0,11.0,10.0,42.0,9.0,11.0,9.0,48.0,6,2,12,22
1,0022300044,1610612763,Grizzlies,MEM,Memphis,240.000000:00,9.0,11.0,9.0,48.0,24.0,11.0,10.0,42.0,2,6,22,12
1,0022300045,1610612748,Heat,MIA,Miami,240.000000:00,25.0,8.0,18.0,40.0,14.0,5.0,16.0,54.0,0,2,19,14
0,0022300045,1610612752,Knicks,NYK,New York,240.000000:00,14.0,5.0,16.0,54.0,25.0,8.0,18.0,40.0,2,0,14,19
1,0022300046,1610612741,Bulls,CHI,Chicago,240.000000:00,20.0,14.0,9.0,46.0,15.0,17.0,11.0,50.0,2,6,20,14
0,0022300046,1610612761,Raptors,TOR,Toronto,240.000000:00,15.0,17.0,11.0,50.0,20.0,14.0,9.0,46.0,6,2,14,20
0,0022300047,1610612754,Pacers,IND,Indiana,240.000000:00,14.0,23.0,13.0,60.0,13.0,18.0,20.0,62.0,8,11,21,18
1,0022300047,1610612765,Pistons,DET,Detroit,240.000000:00,13.0,18.0,20.0,62.0,14.0,23.0,13.0,60.0,11,8,18,21
1,0022300048,1610612743,Nuggets,DEN,Denver,240.000000:00,21.0,16.0,6.0,36.0,12.0,9.0,14.0,44.0,4,9,14,21
0,0022300048,1610612745,Rockets,HOU,Houston,240.000000:00,12.0,9.0,14.0,44.0,21.0,16.0,6.0,36.0,9,4,21,14
1,0022300049,1610612749,Bucks,MIL,Milwaukee,240.000000:00,4.0,9.0,7.0,74.0,8.0,12.0,13.0,58.0,6,4,22,24
0,0022300049,1610612764,Wizards,WAS,Washington,240.000000:00,8.0,12.0,13.0,58.0,4.0,9.0,7.0,74.0,4,6,24,22
1,0022300050,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,13.0,15.0,9.0,42.0,22.0,26.0,10.0,58.0,9,4,18,19
0,0022300050,1610612758,Kings,SAC,Sacramento,240.000000:00,22.0,26.0,10.0,58.0,13.0,15.0,9.0,42.0,4,9,19,18
1,0022300051,1610612744,Warriors,GSW,Golden State,240.000000:00,20.0,8.0,11.0,30.0,34.0,18.0,13.0,48.0,2,3,21,18
0,0022300051,1610612759,Spurs,SAS,San Antonio,240.000000:00,34.0,18.0,13.0,48.0,20.0,8.0,11.0,30.0,3,2,18,21
0,0022300052,1610612740,Pelicans,NOP,New Orleans,240.000000:00,12.0,17.0,12.0,52.0,19.0,16.0,24.0,48.0,5,8,19,24
1,0022300052,1610612746,Clippers,LAC,LA,240.000000:00,19.0,16.0,24.0,48.0,12.0,17.0,12.0,52.0,8,5,24,19
1,0022300053,1610612738,Celtics,BOS,Boston,240.000000:00,13.0,16.0,16.0,46.0,16.0,13.0,13.0,42.0,9,7,18,13
0,0022300053,1610612741,Bulls,CHI,Chicago,240.000000:00,16.0,13.0,13.0,42.0,13.0,16.0,16.0,46.0,7,9,13,18
1,0022300054,1610612751,Nets,BKN,Brooklyn,240.000000:00,8.0,8.0,14.0,50.0,20.0,15.0,12.0,34.0,8,3,17,21
0,0022300054,1610612761,Raptors,TOR,Toronto,240.000000:00,20.0,15.0,12.0,34.0,8.0,8.0,14.0,50.0,3,8,21,17
1,0022300055,1610612737,Hawks,ATL,Atlanta,240.000000:00,14.0,20.0,12.0,32.0,12.0,14.0,19.0,64.0,3,12,16,20
0,0022300055,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,12.0,14.0,19.0,64.0,14.0,20.0,12.0,32.0,12,3,20,16
1,0022300056,1610612748,Heat,MIA,Miami,240.000000:00,10.0,15.0,9.0,62.0,9.0,14.0,16.0,54.0,5,4,22,21
0,0022300056,1610612749,Bucks,MIL,Milwaukee,240.000000:00,9.0,14.0,16.0,54.0,10.0,15.0,9.0,62.0,4,5,21,22
0,0022300057,1610612752,Knicks,NYK,New York,240.000000:00,23.0,28.0,13.0,48.0,20.0,14.0,14.0,42.0,7,2,12,14
1,0022300057,1610612766,Hornets,CHA,Charlotte,240.000000:00,20.0,14.0,14.0,42.0,23.0,28.0,13.0,48.0,2,7,14,12
1,0022300058,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,12.0,19.0,5.0,32.0,21.0,4.0,9.0,36.0,9,4,17,23
0,0022300058,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,21.0,4.0,9.0,36.0,12.0,19.0,5.0,32.0,4,9,23,17
1,0022300059,1610612742,Mavericks,DAL,Dallas,240.000000:00,16.0,20.0,10.0,50.0,11.0,22.0,10.0,56.0,4,6,25,27
0,0022300059,1610612745,Rockets,HOU,Houston,240.000000:00,11.0,22.0,10.0,56.0,16.0,20.0,10.0,50.0,6,4,27,25
1,0022300060,1610612744,Warriors,GSW,Golden State,240.000000:00,13.0,7.0,7.0,38.0,26.0,9.0,10.0,50.0,6,7,31,23
0,0022300060,1610612758,Kings,SAC,Sacramento,240.000000:00,26.0,9.0,10.0,50.0,13.0,7.0,7.0,38.0,7,6,23,31
1,0022300061,1610612743,Nuggets,DEN,Denver,240.000000:00,20.0,17.0,20.0,52.0,18.0,4.0,20.0,58.0,6,4,15,18
0,0022300061,1610612747,Lakers,LAL,Los Angeles,240.000000:00,18.0,4.0,20.0,58.0,20.0,17.0,20.0,52.0,4,6,18,15
1,0022300062,1610612744,Warriors,GSW,Golden State,240.000000:00,22.0,20.0,11.0,44.0,9.0,27.0,13.0,48.0,6,7,23,22
0,0022300062,1610612756,Suns,PHX,Phoenix,240.000000:00,9.0,27.0,13.0,48.0,22.0,20.0,11.0,44.0,7,6,22,23
1,0022300063,1610612737,Hawks,ATL,Atlanta,240.000000:00,17.0,14.0,19.0,58.0,12.0,14.0,17.0,56.0,1,3,19,21
0,0022300063,1610612766,Hornets,CHA,Charlotte,240.000000:00,12.0,14.0,17.0,56.0,17.0,14.0,19.0,58.0,3,1,21,19
1,0022300064,1610612754,Pacers,IND,Indiana,240.000000:00,22.0,11.0,32.0,60.0,14.0,12.0,22.0,68.0,8,9,23,11
0,0022300064,1610612764,Wizards,WAS,Washington,240.000000:00,14.0,12.0,22.0,68.0,22.0,11.0,32.0,60.0,9,8,11,23
1,0022300065,1610612738,Celtics,BOS,Boston,240.000000:00,14.0,4.0,18.0,42.0,11.0,20.0,7.0,24.0,11,0,22,22
0,0022300065,1610612752,Knicks,NYK,New York,240.000000:00,11.0,20.0,7.0,24.0,14.0,4.0,18.0,42.0,0,11,22,22
1,0022300066,1610612745,Rockets,HOU,Houston,240.000000:00,14.0,10.0,11.0,32.0,23.0,19.0,5.0,54.0,3,6,24,20
0,0022300066,1610612753,Magic,ORL,Orlando,240.000000:00,23.0,19.0,5.0,54.0,14.0,10.0,11.0,32.0,6,3,20,24
0,0022300067,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,26.0,13.0,21.0,50.0,16.0,10.0,24.0,56.0,6,6,23,16
1,0022300067,1610612751,Nets,BKN,Brooklyn,240.000000:00,16.0,10.0,24.0,56.0,26.0,13.0,21.0,50.0,6,6,16,23
0,0022300068,1610612748,Heat,MIA,Miami,240.000000:00,25.0,19.0,12.0,48.0,9.0,17.0,16.0,40.0,3,13,18,23
1,0022300068,1610612765,Pistons,DET,Detroit,240.000000:00,9.0,17.0,16.0,40.0,25.0,19.0,12.0,48.0,13,3,23,18
1,0022300069,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,11.0,21.0,12.0,44.0,14.0,14.0,34.0,38.0,9,11,14,18
0,0022300069,1610612761,Raptors,TOR,Toronto,240.000000:00,14.0,14.0,34.0,38.0,11.0,21.0,12.0,44.0,11,9,18,14
1,0022300070,1610612741,Bulls,CHI,Chicago,240.000000:00,22.0,19.0,8.0,44.0,16.0,11.0,17.0,40.0,3,4,16,19
0,0022300070,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,16.0,11.0,17.0,40.0,22.0,19.0,8.0,44.0,4,3,19,16
0,0022300071,1610612740,Pelicans,NOP,New Orleans,240.000000:00,23.0,25.0,7.0,46.0,28.0,23.0,2.0,50.0,5,7,21,19
1,0022300071,1610612763,Grizzlies,MEM,Memphis,240.000000:00,28.0,23.0,2.0,50.0,23.0,25.0,7.0,46.0,7,5,19,21
1,0022300072,1610612758,Kings,SAC,Sacramento,240.000000:00,9.0,14.0,10.0,48.0,14.0,15.0,15.0,64.0,8,2,25,20
0,0022300072,1610612762,Jazz,UTA,Utah,240.000000:00,14.0,15.0,15.0,64.0,9.0,14.0,10.0,48.0,2,8,20,25
1,0022300073,1610612742,Mavericks,DAL,Dallas,240.000000:00,18.0,19.0,19.0,56.0,16.0,13.0,19.0,46.0,3,5,20,23
0,0022300073,1610612759,Spurs,SAS,San Antonio,240.000000:00,16.0,13.0,19.0,46.0,18.0,19.0,19.0,56.0,5,3,23,20
1,0022300074,1610612746,Clippers,LAC,LA,240.000000:00,24.0,19.0,15.0,58.0,21.0,22.0,14.0,54.0,7,4,20,20
0,0022300074,1610612757,Trail Blazers,POR,Portland,240.000000:00,21.0,22.0,14.0,54.0,24.0,19.0,15.0,58.0,4,7,20,20
1,0022300075,1610612749,Bucks,MIL,Milwaukee,240.000000:00,17.0,12.0,18.0,48.0,16.0,3.0,20.0,46.0,4,4,23,28
0,0022300075,1610612755,76ers,PHI,Philadelphia,240.000000:00,16.0,3.0,20.0,46.0,17.0,12.0,18.0,48.0,4,4,28,23
1,0022300076,1610612747,Lakers,LAL,Los Angeles,240.000000:00,29.0,6.0,16.0,60.0,22.0,14.0,6.0,36.0,7,3,23,21
0,0022300076,1610612756,Suns,PHX,Phoenix,240.000000:00,22.0,14.0,6.0,36.0,29.0,6.0,16.0,60.0,3,7,21,23
0,0022300077,1610612765,Pistons,DET,Detroit,240.000000:00,25.0,19.0,14.0,54.0,26.0,7.0,19.0,48.0,6,7,29,23
1,0022300077,1610612766,Hornets,CHA,Charlotte,240.000000:00,26.0,7.0,19.0,48.0,25.0,19.0,14.0,54.0,7,6,23,29
1,0022300078,1610612743,Nuggets,DEN,Denver,240.000000:00,26.0,15.0,9.0,46.0,23.0,8.0,22.0,44.0,9,7,18,23
0,0022300078,1610612763,Grizzlies,MEM,Memphis,240.000000:00,23.0,8.0,22.0,44.0,26.0,15.0,9.0,46.0,7,9,23,18
1,0022300079,1610612737,Hawks,ATL,Atlanta,240.000000:00,20.0,14.0,17.0,54.0,24.0,12.0,16.0,40.0,6,6,20,21
0,0022300079,1610612752,Knicks,NYK,New York,240.000000:00,24.0,12.0,16.0,40.0,20.0,14.0,17.0,54.0,6,6,21,20
1,0022300080,1610612738,Celtics,BOS,Boston,240.000000:00,6.0,23.0,9.0,52.0,16.0,16.0,9.0,36.0,6,6,19,16
0,0022300080,1610612748,Heat,MIA,Miami,240.000000:00,16.0,16.0,9.0,36.0,6.0,23.0,9.0,52.0,6,6,16,19
1,0022300081,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,18.0,9.0,17.0,48.0,15.0,8.0,17.0,38.0,8,10,16,17
0,0022300081,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,15.0,8.0,17.0,38.0,18.0,9.0,17.0,48.0,10,8,17,16
1,0022300082,1610612741,Bulls,CHI,Chicago,265.000000:00,23.0,24.0,14.0,50.0,16.0,10.0,12.0,48.0,5,2,22,29
0,0022300082,1610612761,Raptors,TOR,Toronto,265.000000:00,16.0,10.0,12.0,48.0,23.0,24.0,14.0,50.0,2,5,29,22
1,0022300083,1610612745,Rockets,HOU,Houston,265.000000:00,26.0,13.0,15.0,76.0,19.0,13.0,12.0,56.0,2,4,26,17
0,0022300083,1610612759,Spurs,SAS,San Antonio,265.000000:00,19.0,13.0,12.0,56.0,26.0,13.0,15.0,76.0,4,2,17,26
0,0022300084,1610612742,Mavericks,DAL,Dallas,240.000000:00,16.0,11.0,10.0,50.0,13.0,9.0,20.0,42.0,2,4,15,28
1,0022300084,1610612751,Nets,BKN,Brooklyn,240.000000:00,13.0,9.0,20.0,42.0,16.0,11.0,10.0,50.0,4,2,28,15
1,0022300085,1610612746,Clippers,LAC,LA,240.000000:00,16.0,8.0,5.0,48.0,15.0,33.0,18.0,46.0,6,4,22,24
0,0022300085,1610612762,Jazz,UTA,Utah,240.000000:00,15.0,33.0,18.0,46.0,16.0,8.0,5.0,48.0,4,6,24,22
1,0022300086,1610612753,Magic,ORL,Orlando,240.000000:00,18.0,14.0,13.0,50.0,15.0,22.0,7.0,38.0,5,1,16,24
0,0022300086,1610612757,Trail Blazers,POR,Portland,240.000000:00,15.0,22.0,7.0,38.0,18.0,14.0,13.0,50.0,1,5,24,16
1,0022300087,1610612744,Warriors,GSW,Golden State,240.000000:00,26.0,9.0,11.0,44.0,18.0,8.0,5.0,54.0,3,3,24,16
0,0022300087,1610612758,Kings,SAC,Sacramento,240.000000:00,18.0,8.0,5.0,54.0,26.0,9.0,11.0,44.0,3,3,16,24
1,0022300088,1610612741,Bulls,CHI,Chicago,240.000000:00,17.0,10.0,8.0,36.0,10.0,20.0,11.0,60.0,5,4,20,18
0,0022300088,1610612765,Pistons,DET,Detroit,240.000000:00,10.0,20.0,11.0,60.0,17.0,10.0,8.0,36.0,4,5,18,20
1,0022300089,1610612763,Grizzlies,MEM,Memphis,240.000000:00,14.0,14.0,14.0,36.0,18.0,6.0,8.0,42.0,8,5,21,15
0,0022300089,1610612764,Wizards,WAS,Washington,240.000000:00,18.0,6.0,8.0,42.0,14.0,14.0,14.0,36.0,5,8,15,21
1,0022300090,1610612740,Pelicans,NOP,New Orleans,240.000000:00,21.0,7.0,25.0,52.0,14.0,19.0,21.0,50.0,5,3,22,17
0,0022300090,1610612752,Knicks,NYK,New York,240.000000:00,14.0,19.0,21.0,50.0,21.0,7.0,25.0,52.0,3,5,17,22
1,0022300091,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,7.0,20.0,9.0,58.0,12.0,15.0,15.0,62.0,6,4,16,20
0,0022300091,1610612754,Pacers,IND,Indiana,240.000000:00,12.0,15.0,15.0,62.0,7.0,20.0,9.0,58.0,4,6,20,16
1,0022300092,1610612755,76ers,PHI,Philadelphia,240.000000:00,24.0,13.0,15.0,50.0,10.0,17.0,19.0,34.0,7,5,18,19
0,0022300092,1610612761,Raptors,TOR,Toronto,240.000000:00,10.0,17.0,19.0,34.0,24.0,13.0,15.0,50.0,5,7,19,18
1,0022300093,1610612748,Heat,MIA,Miami,240.000000:00,15.0,9.0,22.0,38.0,22.0,11.0,12.0,58.0,1,3,12,17
0,0022300093,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,22.0,11.0,12.0,58.0,15.0,9.0,22.0,38.0,3,1,17,12
