GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
22300001,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,26.0,6.0,24.0,62.0,15.0,20.0,17.0,52.0,9,5,20,18
22300001,1610612754,Pacers,IND,Indiana,240.000000:00,15.0,20.0,17.0,52.0,26.0,6.0,24.0,62.0,5,9,18,20
22300002,1610612749,Bucks,MIL,Milwaukee,240.000000:00,4.0,8.0,7.0,28.0,14.0,13.0,15.0,42.0,11,1,16,22
22300002,1610612752,Knicks,NYK,New York,240.000000:00,14.0,13.0,15.0,42.0,4.0,8.0,7.0,28.0,1,11,22,16
22300003,1610612748,Heat,MIA,Miami,240.000000:00,17.0,13.0,9.0,58.0,27.0,5.0,22.0,64.0,1,4,18,18
22300003,1610612764,Wizards,WAS,Washington,240.000000:00,27.0,5.0,22.0,64.0,17.0,13.0,9.0,58.0,4,1,18,18
22300004,1610612741,Bulls,CHI,Chicago,240.000000:00,16.0,4.0,8.0,44.0,18.0,7.0,21.0,46.0,4,4,13,12
22300004,1610612751,Nets,BKN,Brooklyn,240.000000:00,18.0,7.0,21.0,46.0,16.0,4.0,8.0,44.0,4,4,12,13
22300005,1610612744,Warriors,GSW,Golden State,240.000000:00,30.0,23.0,12.0,48.0,18.0,14.0,7.0,62.0,2,1,25,20
22300005,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,18.0,14.0,7.0,62.0,30.0,23.0,12.0,48.0,1,2,20,25
22300006,1610612742,Mavericks,DAL,Dallas,240.000000:00,25.0,8.0,9.0,40.0,21.0,20.0,21.0,68.0,6,6,19,17
22300006,1610612743,Nuggets,DEN,Denver,240.000000:00,21.0,20.0,21.0,68.0,25.0,8.0,9.0,40.0,6,6,17,19
22300007,1610612757,Trail Blazers,POR,Portland,265.000000:00,28.0,23.0,21.0,50.0,16.0,9.0,26.0,64.0,7,10,15,25
22300007,1610612763,Grizzlies,MEM,Memphis,265.000000:00,16.0,9.0,26.0,64.0,28.0,23.0,21.0,50.0,10,7,25,15
22300008,1610612755,76ers,PHI,Philadelphia,240.000000:00,27.0,13.0,16.0,48.0,5.0,9.0,16.0,48.0,5,5,23,26
22300008,1610612765,Pistons,DET,Detroit,240.000000:00,5.0,9.0,16.0,48.0,27.0,13.0,16.0,48.0,5,5,26,23
22300009,1610612764,Wizards,WAS,Washington,240.000000:00,12.0,7.0,11.0,54.0,22.0,32.0,15.0,74.0,6,4,23,19
22300009,1610612766,Hornets,CHA,Charlotte,240.000000:00,22.0,32.0,15.0,74.0,12.0,7.0,11.0,54.0,4,6,19,23
22300010,1610612738,Celtics,BOS,Boston,240.000000:00,18.0,29.0,12.0,32.0,2.0,5.0,13.0,32.0,3,3,13,25
22300010,1610612751,Nets,BKN,Brooklyn,240.000000:00,2.0,5.0,13.0,32.0,18.0,29.0,12.0,32.0,3,3,25,13
22300011,1610612740,Pelicans,NOP,New Orleans,240.000000:00,4.0,14.0,6.0,40.0,27.0,16.0,9.0,44.0,6,5,26,22
22300011,1610612745,Rockets,HOU,Houston,240.000000:00,27.0,16.0,9.0,44.0,4.0,14.0,6.0,40.0,5,6,22,26
22300012,1610612762,Jazz,UTA,Utah,240.000000:00,17.0,9.0,17.0,44.0,24.0,18.0,14.0,48.0,12,5,17,23
22300012,1610612763,Grizzlies,MEM,Memphis,240.000000:00,24.0,18.0,14.0,48.0,17.0,9.0,17.0,44.0,5,12,23,17
22300013,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,16.0,15.0,6.0,50.0,21.0,13.0,18.0,42.0,4,8,19,21
22300013,1610612759,Spurs,SAS,San Antonio,240.000000:00,21.0,13.0,18.0,42.0,16.0,15.0,6.0,50.0,8,4,21,19
